,850531.SL,STIP.P,000300.SH,HSI.HK,SPX.GI,N225.GI,BRN0Y.ICE,CU00.SHF,CBA02001.CB,CBA00603.CB,
,黄金,美国国债0-5年期债券,沪深300,恒生指数,标普500,日经225,布伦特原油连续,沪铜连续,中债企业债总指数(总值)财富指数,中债国债总指数(总值)全价指数,
2020-12-21,10774.25,84.9313,5046.8396,26306.68,3694.9199,26714.42,50.8,59150,197.0479,120.4719,
2020-12-22,10160.99,84.9313,4964.7727,26119.25,3687.26,26436.39,49.84,57860,197.1347,120.719,
2020-12-23,10155.94,84.9925,5007.1235,26343.1,3690.01,26524.79,51.12,57780,197.2127,120.7684,
2020-12-24,10228.76,84.9802,5000.0154,26386.56,3703.0601,26668.35,51.3,58040,197.2635,120.5943,
2020-12-25,10484.09,--,5042.0137,--,--,26656.61,--,58490,197.2883,120.7986,
2020-12-28,10637.9,84.9884,5064.4147,26314.63,3735.3601,26854.03,50.95,58680,197.3964,120.962,
2020-12-29,10334.25,84.99,5042.9361,26568.49,3727.04,27568.15,51.15,58150,197.4487,121.0488,
2020-12-30,10464.87,85.021,5113.7105,27147.11,3732.04,27444.17,51.39,58450,197.5422,121.2832,
2020-12-31,10505.99,85.1106,5211.2885,27231.13,3756.0701,--,51.72,57700,197.6006,121.2474,
2021-01-04,11114.19,85.1921,5267.7181,27472.81,3700.6499,27258.38,50.67,58060,197.7401,121.0218,
2021-01-05,11289.53,85.2492,5368.5049,27649.86,3726.8601,27158.63,53.57,58050,197.7941,121.2798,
2021-01-06,11399.77,85.2329,5417.6677,27692.3,3748.1399,27055.94,54.15,58950,197.8614,121.3887,
2021-01-07,11839.72,85.3837,5513.6568,27548.52,3803.79,27490.13,54.52,59250,197.9695,121.4822,
2021-01-08,11821.67,85.3266,5495.4306,27878.22,3824.6799,28139.03,56.36,60250,198.0555,121.3848,
2021-01-11,11179.86,85.2655,5441.1583,27908.22,3799.6101,--,55.62,58520,198.1298,121.3153,
2021-01-12,11350.7,85.2655,5596.3525,28276.75,3801.1899,28164.34,56.78,58560,198.1415,121.4118,
