trade_date,沪深300,中证500,中证1000,上证指数
2020-09-18,4737.0887,6469.4692,6929.7672,3338.0897
2020-09-21,4691.4281,6445.9649,6927.1898,3316.9351
2020-09-22,4635.7608,6358.652,6815.777,3274.3015
2020-09-23,4652.3273,6392.0329,6862.9655,3279.7105
2020-09-24,4563.0657,6244.6389,6675.1518,3223.1764
2020-09-25,4570.0216,6236.8904,6634.3886,3219.4179
2020-09-28,4581.9085,6178.4693,6550.3689,3217.5346
2020-09-29,4591.7993,6228.7708,6621.0317,3224.3593
2020-09-30,4587.3953,6192.5045,6617.1587,3218.0521
2020-10-09,4681.1412,6357.9711,6822.3647,3272.0762
2020-10-12,4823.1578,6541.176,7036.2753,3358.4652
2020-10-13,4839.201,6551.3987,7053.8711,3359.7499
2020-10-14,4807.1021,6508.3743,6988.6091,3340.7782
2020-10-15,4798.7361,6460.0408,6926.8462,3332.1832
2020-10-16,4791.676,6428.6822,6906.3883,3336.3582
2020-10-19,4755.4879,6358.3213,6858.3558,3312.6671
2020-10-20,4793.4672,6423.1128,6923.3842,3328.1029
2020-10-21,4792.8284,6350.0127,6815.0928,3325.0247
2020-10-22,4777.9845,6317.1438,6771.8073,3312.5005
2020-10-23,4718.4881,6213.2626,6641.3292,3277.9972
2020-10-26,4691.2359,6214.3779,6648.521,3251.1188
2020-10-27,4699.2792,6221.3414,6682.5376,3254.3157
2020-10-28,4737.2718,6245.9986,6685.429,3269.238
2020-10-29,4772.9198,6255.1933,6674.7417,3272.7274
2020-10-30,4695.3338,6111.4803,6511.1579,3224.5325
2020-11-02,4720.8313,6143.1157,6513.7878,3225.1196
2020-11-03,4777.5608,6241.7676,6647.575,3271.0744
2020-11-04,4813.6564,6234.158,6632.6822,3277.4402
2020-11-05,4885.1118,6351.9789,6754.9495,3320.1333
2020-11-06,4885.7178,6301.2477,6688.6623,3312.159
2020-11-09,4981.3497,6421.6506,6851.9834,3373.7337
2020-11-10,4953.8756,6373.0853,6779.4907,3360.1485
2020-11-11,4904.8981,6294.6055,6663.7308,3342.2025
2020-11-12,4908.463,6315.4938,6676.4219,3338.6788
2020-11-13,4856.8513,6306.97,6686.3913,3310.1046
2020-11-16,4904.1716,6387.371,6747.8105,3346.9692
2020-11-17,4894.786,6336.9406,6681.7234,3339.895
2020-11-18,4891.6716,6341.0136,6682.1248,3347.3034
2020-11-19,4927.9891,6360.5998,6718.4582,3363.0876
2020-11-20,4943.2882,6422.9854,6766.0605,3377.7267
2020-11-23,5005.0273,6472.9301,6807.7175,3414.4899
2020-11-24,4974.2855,6475.1881,6807.9974,3402.8225
2020-11-25,4910.7,6350.3667,6691.8739,3362.3274
2020-11-26,4919.5912,6334.3042,6643.1846,3369.7334
2020-11-27,4980.765,6351.6119,6641.7734,3408.3071
2020-11-30,4960.2519,6320.9441,6622.3592,3391.7551
2020-12-01,5067.0983,6426.6155,6713.2303,3451.9384
2020-12-02,5067.1447,6434.9791,6735.712,3449.3805
2020-12-03,5057.0603,6440.8808,6711.8429,3442.1359
2020-12-04,5065.9163,6464.7345,6746.6295,3444.5814
2020-12-07,5022.2351,6424.6823,6733.002,3416.6037
2020-12-08,5009.8786,6423.6513,6734.372,3410.1771
2020-12-09,4942.6986,6307.2207,6602.5166,3371.964
2020-12-10,4940.5249,6320.0956,6605.1915,3373.2758
2020-12-11,4889.6292,6209.427,6498.2391,3347.191
2020-12-14,4934.8352,6259.0175,6576.8161,3369.1201
2020-12-15,4945.1,6265.5819,6596.503,3367.2326
2020-12-16,4953.867,6235.4352,6543.3624,3366.9832
2020-12-17,5017.4784,6308.9013,6597.8596,3404.8732
2020-12-18,4999.9678,6291.918,6573.4036,3394.896
2020-12-21,5046.8396,6398.5987,6691.5884,3420.5693
2020-12-22,4964.7727,6250.0606,6549.9694,3356.7822
2020-12-23,5007.1235,6307.604,6601.2429,3382.3195
2020-12-24,5000.0154,6205.2247,6496.3259,3363.1133
2020-12-25,5042.0137,6278.4981,6561.2749,3396.5626
2020-12-28,5064.4147,6244.4818,6519.4714,3397.2854
2020-12-29,5042.9361,6199.8523,6477.2617,3379.0362
2020-12-30,5113.7105,6269.2484,6526.8785,3414.4527
2020-12-31,5211.2885,6367.1149,6646.4735,3473.0693
2021-01-04,5267.7181,6482.7868,6798.7644,3502.9584
2021-01-05,5368.5049,6539.7315,6807.4471,3528.6767
2021-01-06,5417.6677,6528.1425,6724.9502,3550.8767
2021-01-07,5513.6568,6538.1162,6616.5524,3576.2046
2021-01-08,5495.4306,6557.5964,6585.3587,3570.1082
2021-01-11,5441.1583,6455.3987,6475.9548,3531.4978
2021-01-12,5596.3525,6543.2286,6564.7354,3608.3389
2021-01-13,5577.9711,6496.9131,6513.6399,3598.6518
2021-01-14,5470.4563,6439.8854,6506.8268,3565.9046
2021-01-15,5458.0812,6417.5011,6528.461,3566.3778
2021-01-18,5518.5205,6514.4644,6652.0961,3596.2237
2021-01-19,5437.5234,6476.3736,6614.0707,3566.3814
2021-01-20,5476.4336,6535.4185,6671.4485,3583.092
2021-01-21,5564.9693,6622.4959,6745.1085,3621.2641
2021-01-22,5569.776,6637.8052,6721.9167,3606.7496
2021-01-25,5625.9232,6645.3137,6657.2723,3624.2381
2021-01-26,5512.9678,6532.961,6534.0973,3569.429
2021-01-27,5528.0034,6557.1608,6537.7538,3573.3412
2021-01-28,5377.1427,6414.3811,6399.1265,3505.1759
2021-01-29,5351.9646,6346.1371,6304.1181,3483.0692
2021-02-01,5417.6484,6393.278,6345.8142,3505.2836
2021-02-02,5501.0915,6454.7853,6417.4609,3533.6849
2021-02-03,5485.2008,6399.3315,6307.3903,3517.308
2021-02-04,5473.9475,6328.7881,6167.7466,3501.8592
2021-02-05,5483.414,6239.8709,6045.297,3496.3329
2021-02-08,5564.5618,6323.1622,6088.8187,3532.4467
2021-02-09,5686.2502,6457.8814,6254.0114,3603.489
2021-02-10,5807.7191,6525.1658,6303.3064,3655.088
2021-02-18,5768.3814,6614.5443,6404.5949,3675.3571
2021-02-19,5778.842,6703.4821,6527.6465,3696.168
